Time,DV,YDESC,CL_Drug,DOSEGROUP,CL,Drug,YTYPE,ID,mdv,TIME_UNIT,UNIT
18,45.89839,IL6,HighExprLowAffinity,50000,HighExpr,LowAffinity,3,16,0,h,ng/mL
44,111.87447667,IL6,HighExprLowAffinity,50000,HighExpr,LowAffinity,3,16,0,h,ng/mL
68,261.21463333,IL6,HighExprLowAffinity,50000,HighExpr,LowAffinity,3,16,0,h,ng/mL
94,576.34876667,IL6,HighExprLowAffinity,50000,HighExpr,LowAffinity,3,16,0,h,ng/mL
18,0,TNFa,HighExprLowAffinity,0,HighExpr,LowAffinity,5,10,1,h,ng/mL
44,0,TNFa,HighExprLowAffinity,0,HighExpr,LowAffinity,5,10,1,h,ng/mL
68,0,TNFa,HighExprLowAffinity,0,HighExpr,LowAffinity,5,10,1,h,ng/mL
94,0,TNFa,HighExprLowAffinity,0,HighExpr,LowAffinity,5,10,1,h,ng/mL
18,0,TNFa,HighExprLowAffinity,0.5,HighExpr,LowAffinity,5,11,1,h,ng/mL
44,0,TNFa,HighExprLowAffinity,0.5,HighExpr,LowAffinity,5,11,1,h,ng/mL
68,0,TNFa,HighExprLowAffinity,0.5,HighExpr,LowAffinity,5,11,1,h,ng/mL
94,0,TNFa,HighExprLowAffinity,0.5,HighExpr,LowAffinity,5,11,1,h,ng/mL
18,0,TNFa,HighExprLowAffinity,5,HighExpr,LowAffinity,5,12,1,h,ng/mL
44,0,TNFa,HighExprLowAffinity,5,HighExpr,LowAffinity,5,12,1,h,ng/mL
68,0,TNFa,HighExprLowAffinity,5,HighExpr,LowAffinity,5,12,1,h,ng/mL
94,0,TNFa,HighExprLowAffinity,5,HighExpr,LowAffinity,5,12,1,h,ng/mL
